# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.64481994   -0.07403869    0.61927219    0.00000002   11.52466170   -0.49999993    0.49999999    0.06023591
   -0.64481991   -0.14120676   -0.61927200    0.00000003   11.71181076    0.49999978   -0.49999997    0.11488206
    0.46018218    0.00000003   -0.61927224    0.00000001   11.43544155    0.49999997    0.35682998   -0.00000002
   -0.52674454   -0.25783046    0.61927223    0.00000004   12.08525708   -0.49999997   -0.40844311    0.20976399
   -0.00000018   -0.10801713   -0.16368726    0.00000008   10.82554746    0.13216098   -0.00000014    0.08787986
   -0.00000016    0.01462738   -0.14203580    0.00000005   10.70206071    0.11467960   -0.00000012   -0.01190045
   -0.00000008    0.02967779   -0.13529916    0.00000007   10.69922541    0.10924045   -0.00000006   -0.02414506
   -0.00000002    0.06259092   -0.10922336    0.00000003   10.69600284    0.08818687   -0.00000002   -0.05092230
   -0.00000010   -0.02403941   -0.13840688    0.00000007   10.70052770    0.11174962   -0.00000008    0.01955783
   -0.00000006   -0.08922525   -0.13467197    0.00000005   10.75912579    0.10873405   -0.00000005    0.07259129
   -0.00000142   -0.12978665   -0.20026315    0.00000007   10.91568423    0.16169233   -0.00000110    0.10559096
   -0.00000323   -0.13373011   -0.20704290    0.00000003   10.93316943    0.16716630   -0.00000250    0.10879925
   -0.00000015   -0.14567650   -0.22761328    0.00000002   10.98772282    0.18377480   -0.00000012    0.11851852
   -0.00000002   -0.17606359   -0.27848800    0.00000002   11.13287336    0.22485102   -0.00000001    0.14324065
   -0.00000001   -0.18535110   -0.29323958    0.00000002   11.17792003    0.23676144   -0.00000000    0.15079672
   -0.00000002   -0.05115304   -0.11694915    0.00000003   10.69276298    0.09442466   -0.00000001    0.04161675
    0.00000001   -0.03929358   -0.12826240    0.00000003   10.69638047    0.10355898    0.00000001    0.03196821
   -0.64481993    0.17467273   -0.58092812    0.00000002   11.82635692    0.46904096   -0.49999999   -0.14210908
