# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.17625000       0.99220138       0.00982274       0.01083711       0.99321036
      0.17750000       0.99203354       0.00998194       0.01102423       0.99307040
      0.17875000       0.99186283       0.01014326       0.01121416       0.99292828
      0.18000000       0.99168921       0.01030673       0.01140696       0.99278396
      0.18125000       0.99151262       0.01047238       0.01160268       0.99263742
      0.18250000       0.99133301       0.01064024       0.01180137       0.99248862
      0.18375000       0.99115034       0.01081035       0.01200308       0.99233752
      0.18500000       0.99096454       0.01098274       0.01220786       0.99218408
      0.18625000       0.99077557       0.01115745       0.01241577       0.99202828
      0.18750000       0.99058336       0.01133451       0.01262687       0.99187008
      0.18875000       0.99038786       0.01151397       0.01284121       0.99170944
      0.19000000       0.99018901       0.01169585       0.01305884       0.99154632
      0.19125000       0.98998675       0.01188020       0.01327984       0.99138068
      0.19250000       0.98978102       0.01206706       0.01350426       0.99121249
      0.19375000       0.98957176       0.01225646       0.01373215       0.99104170
      0.19500000       0.98935890       0.01244845       0.01396359       0.99086828
      0.19625000       0.98914239       0.01264306       0.01419864       0.99069217
      0.19750000       0.98892214       0.01284035       0.01443737       0.99051335
      0.19875000       0.98869811       0.01304034       0.01467983       0.99033176
      0.20000000       0.98847021       0.01324310       0.01492611       0.99014736
      0.20125000       0.98823838       0.01344865       0.01517626       0.98996011
      0.20250000       0.98800255       0.01365706       0.01543037       0.98976996
      0.20375000       0.98776264       0.01386835       0.01568850       0.98957686
      0.20500000       0.98751857       0.01408259       0.01595073       0.98938077
      0.20625000       0.98727028       0.01429982       0.01621713       0.98918163
      0.20750000       0.98701769       0.01452008       0.01648779       0.98897941
      0.20875000       0.98676070       0.01474343       0.01676277       0.98877404
      0.21000000       0.98649925       0.01496993       0.01704217       0.98856548
      0.21125000       0.98623326       0.01519961       0.01732607       0.98835367
      0.21250000       0.98596262       0.01543254       0.01761454       0.98813856
      0.21375000       0.98568727       0.01566877       0.01790767       0.98792010
      0.21500000       0.98540711       0.01590836       0.01820556       0.98769822
      0.21625000       0.98512206       0.01615136       0.01850829       0.98747288
      0.21750000       0.98483201       0.01639782       0.01881595       0.98724402
      0.21875000       0.98453688       0.01664781       0.01912864       0.98701157
      0.22000000       0.98423658       0.01690139       0.01944645       0.98677548
      0.22125000       0.98393100       0.01715862       0.01976947       0.98653568
      0.22250000       0.98362005       0.01741956       0.02009781       0.98629212
      0.22375000       0.98330363       0.01768427       0.02043156       0.98604473
      0.22500000       0.98298163       0.01795281       0.02077084       0.98579344
      0.22625000       0.98265395       0.01822527       0.02111574       0.98553819
      0.22750000       0.98232048       0.01850169       0.02146636       0.98527892
      0.22875000       0.98198111       0.01878214       0.02182283       0.98501554
      0.23000000       0.98163574       0.01906671       0.02218524       0.98474801
      0.23125000       0.98128424       0.01935545       0.02255372       0.98447623
      0.23250000       0.98092651       0.01964845       0.02292838       0.98420015
      0.23375000       0.98056242       0.01994577       0.02330933       0.98391968
      0.23500000       0.98019186       0.02024748       0.02369669       0.98363476
      0.23625000       0.97981470       0.02055367       0.02409059       0.98334530
      0.23750000       0.97943082       0.02086442       0.02449115       0.98305123
      0.23875000       0.97904010       0.02117979       0.02489849       0.98275247
      0.24000000       0.97864240       0.02149988       0.02531275       0.98244893
      0.24125000       0.97823760       0.02182476       0.02573405       0.98214055
      0.24250000       0.97782555       0.02215451       0.02616253       0.98182722
      0.24375000       0.97740613       0.02248923       0.02659832       0.98150887
      0.24500000       0.97697920       0.02282900       0.02704157       0.98118541
      0.24625000       0.97654462       0.02317390       0.02749240       0.98085676
      0.24750000       0.97610224       0.02352403       0.02795097       0.98052281
      0.24875000       0.97565192       0.02387947       0.02841742       0.98018349
      0.25000000       0.97519351       0.02424033       0.02889189       0.97983869
      0.25125000       0.97472686       0.02460669       0.02937454       0.97948833
      0.25250000       0.97425182       0.02497865       0.02986551       0.97913230
      0.25375000       0.97376823       0.02535631       0.03036497       0.97877051
      0.25500000       0.97327594       0.02573976       0.03087307       0.97840287
      0.25625000       0.97277479       0.02612912       0.03138996       0.97802925
      0.25750000       0.97226462       0.02652447       0.03191581       0.97764958
      0.25875000       0.97174525       0.02692593       0.03245079       0.97726373
      0.26000000       0.97121653       0.02733361       0.03299506       0.97687161
      0.26125000       0.97067829       0.02774760       0.03354879       0.97647310
      0.26250000       0.97013035       0.02816803       0.03411215       0.97606809
      0.26375000       0.96957254       0.02859500       0.03468531       0.97565648
      0.26500000       0.96900468       0.02902862       0.03526845       0.97523815
      0.26625000       0.96842660       0.02946902       0.03586175       0.97481298
      0.26750000       0.96783812       0.02991630       0.03646539       0.97438085
      0.26875000       0.96723904       0.03037060       0.03707955       0.97394165
      0.27000000       0.96662920       0.03083202       0.03770441       0.97349526
      0.27125000       0.96600839       0.03130069       0.03834017       0.97304155
      0.27250000       0.96537644       0.03177674       0.03898701       0.97258039
      0.27375000       0.96473315       0.03226030       0.03964512       0.97211166
      0.27500000       0.96407832       0.03275148       0.04031469       0.97163524
      0.27625000       0.96341177       0.03325043       0.04099593       0.97115098
      0.27750000       0.96273329       0.03375727       0.04168902       0.97065877
      0.27875000       0.96204269       0.03427214       0.04239416       0.97015845
      0.28000000       0.96133977       0.03479518       0.04311156       0.96964990
      0.28125000       0.96062432       0.03532653       0.04384141       0.96913298
      0.28250000       0.95989615       0.03586631       0.04458393       0.96860754
      0.28375000       0.95915504       0.03641469       0.04533931       0.96807345
      0.28500000       0.95840079       0.03697179       0.04610775       0.96753056
      0.28625000       0.95763319       0.03753777       0.04688948       0.96697873
      0.28750000       0.95685204       0.03811278       0.04768469       0.96641779
      0.28875000       0.95605713       0.03869697       0.04849359       0.96584762
      0.29000000       0.95524824       0.03929048       0.04931640       0.96526804
      0.29125000       0.95442516       0.03989347       0.05015332       0.96467891
      0.29250000       0.95358769       0.04050611       0.05100457       0.96408008
      0.29375000       0.95273560       0.04112853       0.05187036       0.96347138
      0.29500000       0.95186869       0.04176092       0.05275090       0.96285265
      0.29625000       0.95098674       0.04240342       0.05364641       0.96222373
      0.29750000       0.95008955       0.04305621       0.05455710       0.96158446
      0.29875000       0.94917688       0.04371944       0.05548318       0.96093467
      0.30000000       0.94824854       0.04439329       0.05642487       0.96027419
      0.30125000       0.94730431       0.04507793       0.05738237       0.95960285
      0.30250000       0.94634397       0.04577352       0.05835591       0.95892049
      0.30375000       0.94536731       0.04648024       0.05934569       0.95822692
      0.30500000       0.94437413       0.04719827       0.06035193       0.95752197
      0.30625000       0.94336420       0.04792778       0.06137484       0.95680547
      0.30750000       0.94233732       0.04866896       0.06241463       0.95607723
      0.30875000       0.94129328       0.04942198       0.06347150       0.95533707
      0.31000000       0.94023187       0.05018703       0.06454567       0.95458481
      0.31125000       0.93915288       0.05096430       0.06563735       0.95382027
      0.31250000       0.93805611       0.05175396       0.06674673       0.95304325
      0.31375000       0.93694135       0.05255621       0.06787403       0.95225357
      0.31500000       0.93580840       0.05337124       0.06901944       0.95145104
      0.31625000       0.93465705       0.05419924       0.07018318       0.95063546
      0.31750000       0.93348712       0.05504041       0.07136543       0.94980664
      0.31875000       0.93229839       0.05589494       0.07256639       0.94896439
      0.32000000       0.93109067       0.05676303       0.07378627       0.94810850
      0.32125000       0.92986378       0.05764488       0.07502525       0.94723877
      0.32250000       0.92861751       0.05854069       0.07628353       0.94635501
      0.32375000       0.92735169       0.05945066       0.07756129       0.94545701
      0.32500000       0.92606611       0.06037501       0.07885873       0.94454456
      0.32625000       0.92476060       0.06131394       0.08017602       0.94361746
      0.32750000       0.92343497       0.06226765       0.08151336       0.94267549
      0.32875000       0.92208904       0.06323637       0.08287092       0.94171845
      0.33000000       0.92072263       0.06422029       0.08424888       0.94074612
      0.33125000       0.91933557       0.06521964       0.08564742       0.93975829
      0.33250000       0.91792768       0.06623464       0.08706670       0.93875473
      0.33375000       0.91649879       0.06726550       0.08850692       0.93773524
      0.33500000       0.91504873       0.06831244       0.08996822       0.93669959
      0.33625000       0.91357733       0.06937569       0.09145079       0.93564755
      0.33750000       0.91208443       0.07045547       0.09295478       0.93457891
      0.33875000       0.91056986       0.07155200       0.09448036       0.93349343
      0.34000000       0.90903346       0.07266553       0.09602770       0.93239088
      0.34125000       0.90747506       0.07379627       0.09759695       0.93127104
      0.34250000       0.90589452       0.07494447       0.09918827       0.93013366
      0.34375000       0.90429167       0.07611036       0.10080182       0.92897852
      0.34500000       0.90266635       0.07729417       0.10243775       0.92780538
      0.34625000       0.90101841       0.07849615       0.10409623       0.92661398
      0.34750000       0.89934770       0.07971655       0.10577740       0.92540410
      0.34875000       0.89765406       0.08095560       0.10748143       0.92417549
      0.35000000       0.89593734       0.08221355       0.10920845       0.92292788
      0.35125000       0.89419738       0.08349066       0.11095864       0.92166105
      0.35250000       0.89243403       0.08478718       0.11273213       0.92037473
      0.35375000       0.89064715       0.08610336       0.11452908       0.91906866
      0.35500000       0.88883656       0.08743947       0.11634965       0.91774258
      0.35625000       0.88700213       0.08879576       0.11819399       0.91639624
      0.35750000       0.88514369       0.09017251       0.12006225       0.91502937
      0.35875000       0.88326109       0.09156998       0.12195460       0.91364170
      0.36000000       0.88135416       0.09298845       0.12387118       0.91223295
      0.36125000       0.87942276       0.09442818       0.12581217       0.91080285
      0.36250000       0.87746671       0.09588946       0.12777772       0.90935112
      0.36375000       0.87548586       0.09737257       0.12976800       0.90787749
      0.36500000       0.87348003       0.09887779       0.13178317       0.90638165
      0.36625000       0.87144906       0.10040543       0.13382340       0.90486333
      0.36750000       0.86939276       0.10195576       0.13588887       0.90332223
      0.36875000       0.86731098       0.10352909       0.13797975       0.90175805
      0.37000000       0.86520352       0.10512572       0.14009623       0.90017048
      0.37125000       0.86307020       0.10674596       0.14223848       0.89855923
      0.37250000       0.86091083       0.10839011       0.14440670       0.89692398
      0.37375000       0.85872522       0.11005850       0.14660108       0.89526442
      0.37500000       0.85651317       0.11175144       0.14882182       0.89358022
      0.37625000       0.85427448       0.11346925       0.15106911       0.89187106
      0.37750000       0.85200894       0.11521227       0.15334318       0.89013662
      0.37875000       0.84971634       0.11698083       0.15564422       0.88837655
      0.38000000       0.84739645       0.11877527       0.15797247       0.88659052
      0.38125000       0.84504905       0.12059594       0.16032814       0.88477818
      0.38250000       0.84267392       0.12244317       0.16271147       0.88293919
      0.38375000       0.84027080       0.12431734       0.16512270       0.88107319
      0.38500000       0.83783946       0.12621879       0.16756207       0.87917982
      0.38625000       0.83537965       0.12814789       0.17002982       0.87725871
      0.38750000       0.83289111       0.13010502       0.17252623       0.87530949
      0.38875000       0.83037357       0.13209054       0.17505154       0.87333180
      0.39000000       0.82782677       0.13410485       0.17760603       0.87132523
      0.39125000       0.82525042       0.13614833       0.18018999       0.86928942
      0.39250000       0.82264425       0.13822136       0.18280369       0.86722396
      0.39375000       0.82000796       0.14032436       0.18544742       0.86512845
