# Chirality               1              -1              -1               1               1              -1              -1               1
# k            phase           phase           phase           phase           phase           phase           phase           phase
      0.30750000       0.01125331       0.99410055       0.99359242       0.01072343       0.01120737       0.99404752       0.99354064       0.01067694
      0.31000000       0.01157263       0.99381973       0.99329916       0.01103024       0.01152656       0.99376642       0.99324712       0.01098362
      0.31250000       0.01190445       0.99352637       0.99299309       0.01134929       0.01185825       0.99347279       0.99294082       0.01130254
      0.31500000       0.01224945       0.99321979       0.99267354       0.01168126       0.01220313       0.99316594       0.99262103       0.01163440
      0.31750000       0.01260838       0.99289924       0.99233974       0.01202689       0.01256195       0.99284514       0.99228700       0.01197992
      0.32000000       0.01298203       0.99256394       0.99199092       0.01238696       0.01293549       0.99250958       0.99193796       0.01233990
      0.32250000       0.01337125       0.99221304       0.99162622       0.01276233       0.01332461       0.99215843       0.99157304       0.01271517
      0.32500000       0.01377694       0.99184563       0.99124473       0.01315390       0.01373021       0.99179077       0.99119134       0.01310666
      0.32750000       0.01420010       0.99146073       0.99084547       0.01356265       0.01415328       0.99140563       0.99079187       0.01351534
      0.33000000       0.01464176       0.99105729       0.99042737       0.01398962       0.01459487       0.99100195       0.99037358       0.01394225
      0.33250000       0.01510306       0.99063418       0.98998932       0.01443595       0.01505611       0.99057861       0.98993534       0.01438853
      0.33500000       0.01558522       0.99019017       0.98953009       0.01490286       0.01553822       0.99013438       0.98947592       0.01485540
      0.33750000       0.01608956       0.98972395       0.98904836       0.01539167       0.01604251       0.98966794       0.98899401       0.01534417
      0.34000000       0.01661749       0.98923409       0.98854271       0.01590379       0.01657041       0.98917787       0.98848820       0.01585627
      0.34250000       0.01717056       0.98871906       0.98801161       0.01644077       0.01712345       0.98866262       0.98795693       0.01639324
      0.34500000       0.01775042       0.98817717       0.98745338       0.01700428       0.01770330       0.98812054       0.98739855       0.01695675
      0.34750000       0.01835887       0.98760663       0.98686623       0.01759612       0.01831175       0.98754980       0.98681125       0.01754860
      0.35000000       0.01899786       0.98700546       0.98624821       0.01821826       0.01895075       0.98694844       0.98619309       0.01817077
      0.35250000       0.01966953       0.98637152       0.98559718       0.01887284       0.01962244       0.98631433       0.98554194       0.01882539
      0.35500000       0.02037617       0.98570249       0.98491084       0.01956218       0.02032912       0.98564513       0.98485548       0.01951479
      0.35750000       0.02112031       0.98499583       0.98418668       0.02028883       0.02107330       0.98493830       0.98413121       0.02024150
      0.36000000       0.02190468       0.98424875       0.98342194       0.02105556       0.02185773       0.98419106       0.98336637       0.02100831
      0.36250000       0.02273228       0.98345823       0.98261362       0.02186540       0.02268541       0.98340040       0.98255797       0.02181825
      0.36500000       0.02360640       0.98262094       0.98175846       0.02272167       0.02355962       0.98256296       0.98170272       0.02267464
      0.36750000       0.02453062       0.98173323       0.98085284       0.02362803       0.02448395       0.98167512       0.98079704       0.02358112
      0.37000000       0.02550888       0.98079109       0.97989283       0.02458848       0.02546234       0.98073286       0.97983698       0.02454171
      0.37250000       0.02654553       0.97979010       0.97887409       0.02560743       0.02649913       0.97973177       0.97881820       0.02556083
      0.37500000       0.02764534       0.97872540       0.97779185       0.02668976       0.02759909       0.97866696       0.97773593       0.02664334
      0.37750000       0.02881357       0.97759160       0.97664083       0.02784083       0.02876750       0.97753308       0.97658490       0.02779462
      0.38000000       0.03005604       0.97638276       0.97541522       0.02906661       0.03001016       0.97632416       0.97535930       0.02902062
      0.38250000       0.03137918       0.97509226       0.97410858       0.03037370       0.03133353       0.97503359       0.97405267       0.03032795
      0.38500000       0.03279014       0.97371277       0.97271376       0.03176943       0.03274473       0.97365405       0.97265789       0.03172394
      0.38750000       0.03429685       0.97223612       0.97122284       0.03326196       0.03425170       0.97217737       0.97116702       0.03321677
      0.39000000       0.03590814       0.97065321       0.96962697       0.03486040       0.03586328       0.97059443       0.96957122       0.03481553
      0.39250000       0.03763386       0.96895386       0.96791631       0.03657494       0.03758932       0.96889507       0.96786065       0.03653040
      0.39500000       0.03948501       0.96712665       0.96607985       0.03841696       0.03944081       0.96706787       0.96602431       0.03837280
      0.39750000       0.04147391       0.96515881       0.96410528       0.04039926       0.04143008       0.96510006       0.96404987       0.04035550
      0.40000000       0.04361437       0.96303596       0.96197877       0.04253622       0.04357095       0.96297724       0.96192351       0.04249288
