     # Chirality               0               0
            # k            phase           phase
      0.44897959      0.01341449      0.99580569      0.00007487      0.00013508      0.00014047      0.00014356      0.00014488      0.00014604      0.00014926      0.00021270      0.00030340      0.00039859      0.00040882      0.00041518      0.00041624      0.00042072      0.00042256      0.01045548      0.99902664      0.00007523      0.00013419      0.00013999      0.00014330      0.00014493      0.00014597      0.00014919      0.00019882      0.00030324      0.00039726      0.00040864      0.00041523      0.00041623      0.00042068      0.00042242      0.00138593      0.99050447
      0.46938776      0.01689318      0.98798409      0.00007553      0.00013626      0.00014168      0.00014479      0.00014608      0.00014727      0.00015051      0.00021652      0.00030598      0.00040199      0.00041224      0.00041864      0.00041970      0.00042421      0.00042607      0.01374071      0.99918501      0.00007582      0.00013487      0.00014093      0.00014435      0.00014611      0.00014716      0.00015043      0.00019452      0.00030578      0.00040000      0.00041190      0.00041867      0.00041968      0.00042416      0.00042586      0.00096556      0.98307831
      0.48979592      0.03139791      0.94911055      0.00007595      0.00013708      0.00014248      0.00014558      0.00014670      0.00014793      0.00015114      0.00022703      0.00030735      0.00040400      0.00041408      0.00042038      0.00042144      0.00042597      0.00042786      0.02778643      0.99961651      0.00007594      0.00013103      0.00014025      0.00014439      0.00014666      0.00014765      0.00015101      0.00017106      0.00030689      0.00039562      0.00041264      0.00042033      0.00042136      0.00042576      0.00042719      0.00049938      0.94469339
      0.51020408      0.97810743      0.16972855      0.00007047      0.00010862      0.00013907      0.00014358      0.00014726      0.00014849      0.00015106      0.00015437      0.00030266      0.00034399      0.00040777      0.00041699      0.00042070      0.00042203      0.00042646      0.00043327      0.97387064      0.00006144      0.00007503      0.00013805      0.00014332      0.00014618      0.00014729      0.00014950      0.00015131      0.00029766      0.00031117      0.00040653      0.00041531      0.00042046      0.00042145      0.00042594      0.00042789      0.16559001
      0.53061224      0.99959436      0.03728655      0.00007131      0.00013024      0.00013977      0.00014312      0.00014665      0.00014827      0.00015059      0.00018828      0.00030222      0.00039455      0.00040919      0.00041765      0.00041925      0.00042185      0.00042500      0.00060697      0.99507944      0.00003355      0.00007190      0.00013690      0.00014248      0.00014460      0.00014667      0.00014867      0.00015064      0.00028750      0.00030600      0.00040425      0.00041297      0.00041860      0.00041958      0.00042383      0.00042558      0.03321283
      0.55102041      0.00319701      0.02354461      0.00007106      0.00013160      0.00013909      0.00014198      0.00014544      0.00014712      0.00014937      0.00020660      0.00030011      0.00039557      0.00040669      0.00041447      0.00041586      0.00041875      0.00042157      0.00104791      0.99824382      0.00001360      0.00007113      0.00013544      0.00014114      0.00014305      0.00014545      0.00014740      0.00014939      0.00027950      0.00030289      0.00040062      0.00040927      0.00041507      0.00041607      0.00042011      0.00042192      0.01953258
      0.57142857      0.00452242      0.01808952      0.00007039      0.00013067      0.00013755      0.00014023      0.00014362      0.00014533      0.00014752      0.00021390      0.00029670      0.00039178      0.00040194      0.00040937      0.00041072      0.00041365      0.00041636      0.00151425      0.99913843      0.00000235      0.00007030      0.00013356      0.00013927      0.00014111      0.00014364      0.00014557      0.00014753      0.00027302      0.00029903      0.00039550      0.00040403      0.00040985      0.00041087      0.00041475      0.00041661      0.01414253
      0.59183673      0.00508370      0.01498475      0.00006937      0.00012879      0.00013534      0.00013790      0.00014122      0.00014295      0.00014507      0.00021640      0.00029205      0.00038579      0.00039539      0.00040253      0.00040387      0.00040677      0.00040943      0.00180077      0.99947006      0.00006923      0.00013121      0.00013688      0.00013865      0.00014123      0.00014315      0.00014507      0.00026697      0.00029409      0.00038886      0.00039721      0.00040296      0.00040400      0.00040773      0.00040962      0.01111042      0.99999746
      0.61224490      0.00528589      0.01286818      0.00006803      0.00012621      0.00013251      0.00013500      0.00013823      0.00013997      0.00014202      0.00021619      0.00028619      0.00037802      0.00038714      0.00039400      0.00039536      0.00039819      0.00040080      0.00191286      0.99963516      0.00006787      0.00012836      0.00013394      0.00013567      0.00013825      0.00014015      0.00014202      0.00026073      0.00028801      0.00038068      0.00038880      0.00039442      0.00039547      0.00039906      0.00040097      0.00907688      0.99999690
      0.63265306      0.00528728      0.01126019      0.00006639      0.00012305      0.00012912      0.00013154      0.00013468      0.00013641      0.00013839      0.00021407      0.00027915      0.00036859      0.00037728      0.00038384      0.00038522      0.00038795      0.00039053      0.00190530      0.99973579      0.00006624      0.00012502      0.00013047      0.00013215      0.00013469      0.00013657      0.00013838      0.00025397      0.00028079      0.00037097      0.00037882      0.00038426      0.00038532      0.00038877      0.00039067      0.00756401      0.99999908
